0.000000000000000000e+00,2.000000000000000000e+00
1.000000000000000021e-02,2.313952597646566911e+00
2.000000000000000042e-02,2.626666167821521292e+00
2.999999999999999889e-02,2.936906572928623227e+00
4.000000000000000083e-02,3.243449435824274030e+00
5.000000000000000278e-02,3.545084971874737256e+00
5.999999999999999778e-02,3.840622763423389596e+00
7.000000000000000666e-02,4.128896457825363520e+00
8.000000000000000167e-02,4.408768370508576950e+00
8.999999999999999667e-02,4.679133974894982728e+00
1.000000000000000056e-01,4.938926261462365908e+00
1.100000000000000006e-01,5.187119948743448283e+00
1.199999999999999956e-01,5.422735529643443186e+00
1.300000000000000044e-01,5.644843137107057984e+00
1.400000000000000133e-01,5.852566213878946044e+00
1.499999999999999944e-01,6.045084971874737256e+00
1.600000000000000033e-01,6.221639627510075599e+00
1.700000000000000122e-01,6.381533400219318253e+00
1.799999999999999933e-01,6.524135262330098328e+00
1.900000000000000022e-01,6.648882429441256292e+00
2.000000000000000111e-01,6.755282581475767323e+00
2.099999999999999922e-01,6.842915805643155380e+00
2.200000000000000011e-01,6.911436253643443273e+00
2.300000000000000100e-01,6.960573506572389491e+00
2.399999999999999911e-01,6.990133642141358017e+00
2.500000000000000000e-01,7.000000000000000000e+00
2.600000000000000089e-01,6.990133642141358017e+00
2.700000000000000178e-01,6.960573506572388602e+00
2.800000000000000266e-01,6.911436253643443273e+00
2.899999999999999800e-01,6.842915805643156268e+00
2.999999999999999889e-01,6.755282581475768211e+00
3.099999999999999978e-01,6.648882429441257180e+00
3.200000000000000067e-01,6.524135262330097440e+00
3.300000000000000155e-01,6.381533400219317365e+00
3.400000000000000244e-01,6.221639627510074710e+00
3.500000000000000333e-01,6.045084971874737256e+00
3.599999999999999867e-01,5.852566213878946044e+00
3.699999999999999956e-01,5.644843137107057096e+00
3.800000000000000044e-01,5.422735529643444075e+00
3.900000000000000133e-01,5.187119948743449172e+00
4.000000000000000222e-01,4.938926261462366796e+00
4.100000000000000311e-01,4.679133974894982728e+00
4.199999999999999845e-01,4.408768370508577839e+00
4.299999999999999933e-01,4.128896457825364408e+00
4.400000000000000022e-01,3.840622763423390928e+00
4.500000000000000111e-01,3.545084971874737256e+00
4.600000000000000200e-01,3.243449435824274030e+00
4.700000000000000289e-01,2.936906572928622783e+00
